City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.08,-159.32,81.0,83,40,9.17,US,1604608907
Alyangula,-13.85,136.42,80.6,88,19,5.82,AU,1604609368
Nikolskoye,59.7,30.79,46.4,75,20,17.9,RU,1604609084
Romny,50.75,33.47,40.08,94,0,7.7,UA,1604609371
Hong Kong,22.29,114.16,72.0,81,0,1.01,HK,1604609372
Hadejia,12.45,10.04,82.62,23,95,12.59,NG,1604609373
Punta Arenas,-53.15,-70.92,55.4,30,75,20.8,CL,1604608777
Ponta do Sol,32.67,-17.1,59.0,72,40,5.82,PT,1604608904
Rikitea,-23.12,-134.97,74.35,68,39,12.08,PF,1604608892
Bereket,39.24,55.52,53.1,36,2,8.7,TM,1604609378
Saldanha,-33.01,17.94,62.6,88,100,4.7,ZA,1604609149
Srednekolymsk,67.45,153.68,20.08,97,100,21.05,RU,1604608969
Yar-Sale,66.83,70.83,11.32,96,100,12.3,RU,1604609381
Ushuaia,-54.8,-68.3,48.2,49,75,24.16,AR,1604608862
Evensk,61.95,159.23,2.66,85,96,10.25,RU,1604609096
Vestmannaeyjar,63.44,-20.27,44.47,71,100,37.11,IS,1604609359
Hobart,-42.88,147.33,54.0,58,40,11.41,AU,1604609042
Voh,-20.97,164.7,81.18,67,1,0.38,NC,1604609388
Barrow,71.29,-156.79,21.2,92,90,23.04,US,1604609053
Abalak,58.13,68.59,30.72,99,98,6.46,RU,1604609390
Yellowknife,62.46,-114.35,12.99,72,90,14.99,CA,1604608930
Atuona,-9.8,-139.03,79.05,74,8,21.56,PF,1604609037
Billings Metropolitan Area,45.78,-108.5,71.6,17,75,12.75,US,1604609393
Mossamedes,-15.2,12.15,70.83,62,0,5.28,AO,1604609099
Alice Springs,-23.7,133.88,60.8,25,10,6.93,AU,1604609396
Carnarvon,-24.87,113.63,69.8,100,90,16.11,AU,1604609030
Port Keats,-14.25,129.55,82.4,76,0,6.29,AU,1604609398
Nanortalik,60.14,-45.24,29.3,85,85,38.1,GL,1604608923
Avarua,-21.21,-159.78,75.2,78,81,18.86,CK,1604609054
Busselton,-33.65,115.33,55.0,80,0,3.0,AU,1604608925
Port Hardy,50.7,-127.42,50.0,81,40,5.82,CA,1604608986
Mana,5.66,-53.78,79.12,84,88,7.36,GF,1604609405
Torbay,47.67,-52.73,34.0,83,20,6.93,CA,1604609201
Verkhoyansk,67.54,133.38,-24.75,84,88,0.85,RU,1604608988
Thunder Bay,48.4,-89.32,60.8,44,75,2.44,CA,1604609377
Albany,42.6,-73.97,66.0,45,75,11.41,US,1604608798
Hermanus,-34.42,19.23,62.01,89,100,4.0,ZA,1604609002
Port Alfred,-33.59,26.89,67.01,86,17,12.17,ZA,1604609294
Mar del Plata,-38.0,-57.56,71.01,49,75,11.41,AR,1604608987
Khatanga,71.97,102.5,-4.61,90,100,1.79,RU,1604609414
Puerto Colombia,10.99,-74.95,82.4,83,75,6.93,CO,1604609205
Karligan,14.97,122.05,78.64,81,89,1.41,PH,1604609416
Bayir,37.27,28.22,68.0,42,0,12.75,TR,1604609417
Kabare,-2.47,28.82,64.22,83,100,1.57,CD,1604609418
Barentu,15.11,37.59,71.89,63,1,5.75,ER,1604609419
Fairbanks,64.84,-147.72,1.99,76,75,1.12,US,1604609014
Bandarbeyla,9.49,50.81,74.23,71,33,8.03,SO,1604609422
Kaitong,44.81,123.15,44.71,53,100,10.96,CN,1604609423
Mataura,-46.19,168.86,53.01,85,63,5.01,NZ,1604608927
Omsukchan,62.53,155.8,-14.4,83,100,5.08,RU,1604609426
El Ejido,36.78,-2.81,72.0,60,0,11.41,ES,1604609428
Port-Cartier,50.03,-66.87,36.0,95,99,3.36,CA,1604609287
Våler,60.68,11.83,50.0,90,50,3.53,NO,1604609431
Los Llanos de Aridane,28.66,-17.92,69.8,52,40,5.82,ES,1604609400
Pevek,69.7,170.31,28.87,96,100,25.05,RU,1604609040
Faanui,-16.48,-151.75,79.14,81,0,17.02,PF,1604608929
Makkah al Mukarramah,21.43,39.83,75.81,59,0,3.87,SA,1604609435
Hualmay,-11.1,-77.61,67.14,68,15,9.75,PE,1604609353
Puerto Ayora,-0.74,-90.35,77.0,69,20,20.8,EC,1604608894
Cabo San Lucas,22.89,-109.91,87.01,58,5,10.04,MX,1604608766
Lakes Entrance,-37.88,147.98,53.01,78,29,9.55,AU,1604609440
Naze,28.37,129.48,77.0,73,90,12.75,JP,1604609441
Vaini,-21.2,-175.2,75.2,83,75,8.05,TO,1604608966
Lüderitz,-26.65,15.16,60.35,87,71,8.03,NA,1604609086
Kaeo,-35.1,173.78,72.0,78,67,5.99,NZ,1604609322
Pedasí,7.53,-80.03,78.94,77,7,20.36,PA,1604609446
Broken Hill,-31.95,141.43,48.2,66,100,9.17,AU,1604609282
Bethel,41.37,-73.41,66.2,39,1,10.29,US,1604609101
Shudayag,63.53,53.61,36.59,88,74,8.5,RU,1604609450
Santa María Rayón,19.14,-99.58,75.2,15,5,4.7,MX,1604609451
Santa Vitória do Palmar,-33.52,-53.37,63.39,72,2,10.4,BR,1604609452
San Cristobal,7.77,-72.22,87.8,58,40,12.75,VE,1604609207
Jamestown,42.1,-79.24,66.2,37,1,13.87,US,1604608755
Haines Junction,60.75,-137.51,8.6,55,0,3.36,CA,1604608998
Nanning,22.82,108.32,64.4,93,85,4.47,CN,1604609457
Sakakah,29.97,40.21,66.2,48,11,11.41,SA,1604609287
Santa Marinella,42.03,11.85,62.01,78,18,6.2,IT,1604609460
Sheregesh,52.92,87.99,28.98,98,100,8.01,RU,1604609461
Bluff,-46.6,168.33,53.01,85,3,5.01,NZ,1604608924
Emerald,-23.53,148.17,71.6,26,0,19.46,AU,1604609463
Lompoc,34.64,-120.46,86.0,20,1,3.36,US,1604609318
Kaseda-shirakame,31.42,130.32,62.64,77,23,9.04,JP,1604609465
Arraial do Cabo,-22.97,-42.03,69.8,88,75,18.34,BR,1604609050
Bredasdorp,-34.53,20.04,66.2,82,100,12.75,ZA,1604608996
São Filipe,14.9,-24.5,77.16,76,12,4.05,CV,1604609171
Banda Aceh,5.56,95.32,78.78,80,55,4.81,ID,1604609408
Pisco,-13.7,-76.22,68.0,72,20,10.29,PE,1604609147
Hilo,19.73,-155.09,84.2,62,40,8.05,US,1604608928
Tiksi,71.69,128.87,8.91,96,100,7.25,RU,1604609264
Mahébourg,-20.41,57.7,73.4,73,75,6.93,MU,1604609101
Kotel'nich,58.31,48.35,41.09,83,100,10.29,RU,1604609477
Hingoli,19.72,77.15,65.41,54,0,2.73,IN,1604609479
Esperance,-33.87,121.9,50.0,93,97,8.05,AU,1604608969
Visnes,59.36,5.22,52.0,100,75,13.87,NO,1604609481
Berlare,51.04,3.98,46.0,89,0,4.94,BE,1604609482
Castro,-24.79,-50.01,64.62,57,0,2.01,BR,1604608995
Saint Paul Harbor,57.79,-152.41,33.8,47,75,1.95,US,1604609033
Tuktoyaktuk,69.45,-133.04,5.0,77,75,9.17,CA,1604608961
Cherskiy,68.75,161.3,24.4,93,100,19.3,RU,1604609104
Lebu,-37.62,-73.65,54.75,71,0,20.8,CL,1604608931
Tahoua,14.89,5.27,86.0,20,0,6.93,NE,1604609490
Maracaçumé,-2.04,-45.96,78.71,86,100,3.44,BR,1604609491
Olbia,40.92,9.49,51.8,93,0,1.12,IT,1604609492
Shimoda,34.67,138.95,48.0,87,32,6.35,JP,1604609493
Kota Belud,6.35,116.43,73.4,94,20,5.82,MY,1604609494
Fortuna,40.6,-124.16,70.0,68,1,5.82,US,1604608983
Butaritari,3.07,172.79,81.79,78,32,8.9,KI,1604609091
Saint-Louis,16.33,-15.0,93.34,22,70,12.1,SN,1604609498
Ağdam,39.99,46.93,60.1,75,100,2.44,AZ,1604609500
Narsaq,60.92,-46.05,19.4,41,20,2.24,GL,1604609166
Port Elizabeth,-33.92,25.57,66.2,88,0,5.82,ZA,1604609133
Bonito,-21.12,-56.48,84.85,40,0,3.22,BR,1604609384
Sitka,57.05,-135.33,35.6,59,20,16.11,US,1604609225
Traverse City,44.76,-85.62,66.2,45,20,5.82,US,1604609505
Saskylakh,71.92,114.08,7.02,94,100,8.23,RU,1604609277
Kahului,20.89,-156.47,87.8,52,20,10.29,US,1604609296
Coyhaique,-45.58,-72.07,55.4,50,75,8.05,CL,1604609509
Ribeira Grande,38.52,-28.7,59.0,77,40,8.05,PT,1604608963
Nushki,29.55,66.02,50.07,49,0,1.74,PK,1604609511
Muros,42.78,-9.06,61.0,62,0,9.17,ES,1604609512
Saint-Philippe,-21.36,55.77,73.4,72,40,5.82,RE,1604609004
Cape Town,-33.93,18.42,66.99,88,75,9.17,ZA,1604609083
Meulaboh,4.14,96.13,76.96,88,82,4.12,ID,1604609518
Lamu,-2.27,40.9,80.6,78,1,9.17,KE,1604609311
Longyearbyen,78.22,15.64,37.4,74,40,18.34,SJ,1604609520
Pochutla,15.74,-96.47,87.8,58,90,11.41,MX,1604609431
Tiznit Province,29.58,-9.5,67.24,42,100,5.82,MA,1604609344
Port-Gentil,-0.72,8.78,80.6,88,40,11.41,GA,1604609125
Te Anau,-45.42,167.72,48.63,79,98,1.86,NZ,1604609296
Geraldton,-28.77,114.6,69.8,64,7,11.41,AU,1604609085
Port Moresby,-9.44,147.18,77.0,94,75,3.36,PG,1604609097
Brigham City,41.51,-112.02,68.0,17,1,7.0,US,1604609449
Atar,20.52,-13.05,87.35,17,100,2.86,MR,1604609361
Sept-Îles,50.2,-66.38,36.0,91,100,3.36,CA,1604609339
Bella Vista,36.43,-94.23,73.4,49,1,10.29,US,1604609535
Ancud,-41.87,-73.82,59.0,58,75,10.29,CL,1604609200
Airai,-8.93,125.41,61.48,73,10,1.54,TL,1604608936
Constitución,-35.33,-72.42,61.56,55,0,18.19,CL,1604609538
East London,-33.02,27.91,71.02,76,61,8.12,ZA,1604609028
New Norfolk,-42.78,147.06,54.0,61,99,5.99,AU,1604608920
Thompson,55.74,-97.86,8.6,78,90,6.93,CA,1604608907
Beira,-19.84,34.84,80.6,78,20,11.41,MZ,1604609320
Mujiayingzi,42.12,118.78,42.04,57,30,11.72,CN,1604609544
Moose Factory,51.26,-80.61,37.4,74,90,8.05,CA,1604609545
Shubarshi,48.59,57.19,47.01,43,100,8.16,KZ,1604609545
Novogurovskiy,54.47,37.34,42.8,81,93,8.95,RU,1604609547
Tasiilaq,65.61,-37.64,28.4,74,75,1.12,GL,1604609096
Alakurtti,66.97,30.35,33.01,95,97,3.0,RU,1604609549
Saint George,37.1,-113.58,82.99,21,1,9.95,US,1604609000
Atasū,48.68,71.64,29.23,74,0,0.85,KZ,1604609286
Kruisfontein,-34.0,24.73,64.0,91,50,1.01,ZA,1604609385
Rio Branco do Sul,-25.19,-49.31,71.6,28,40,9.17,BR,1604609554
Lima,-12.04,-77.03,69.8,64,75,10.29,PE,1604609400
Katherine,-14.47,132.27,84.2,66,18,4.7,AU,1604609557
Ibrā’,22.69,58.53,60.44,67,0,1.9,OM,1604609558
Chui,-33.7,-53.46,63.16,73,5,10.98,UY,1604609049
Kaitangata,-46.28,169.85,49.62,75,91,2.68,NZ,1604609085
Beşikdüzü,41.05,39.23,64.4,77,75,1.12,TR,1604609349
Adrar,20.5,-10.07,86.61,15,40,9.51,MR,1604609564
Tagusao,9.19,117.81,78.49,73,98,2.08,PH,1604609565
Port Lincoln,-34.73,135.87,53.91,63,100,7.99,AU,1604609084
Aksu,41.12,80.26,38.32,62,0,4.85,CN,1604609333
Guerrero Negro,27.98,-114.06,90.7,17,64,12.03,MX,1604609167
Dikson,73.51,80.55,-0.47,91,0,3.78,RU,1604608923
Lubāna,56.9,26.72,47.5,85,88,10.22,LV,1604609571
Arrondissement de Mende,44.67,3.5,40.48,96,19,4.21,FR,1604609573
Almaznyy,48.04,40.05,44.6,93,40,4.47,RU,1604609330
Indianola,41.36,-93.56,73.0,43,1,3.58,US,1604609576
Nicoya,10.15,-85.45,78.8,88,75,8.05,CR,1604609577
Rancho Palos Verdes,33.74,-118.39,87.8,15,75,4.7,US,1604609578
Shakawe,-18.37,21.85,77.13,51,14,6.85,BW,1604609302
Inongo,-1.95,18.27,72.55,94,100,7.52,CD,1604609580
Palanga,55.92,21.07,51.8,93,75,9.17,LT,1604609581
Norman Wells,65.28,-126.83,-2.2,84,40,0.54,CA,1604609582
Sulangan,11.14,123.72,81.68,80,83,12.06,PH,1604609584
Iquitos,-3.75,-73.25,84.2,74,75,5.82,PE,1604609585
Angoche,-16.23,39.91,78.39,76,0,12.84,MZ,1604609516
Itarema,-2.92,-39.92,80.28,75,0,15.01,BR,1604609587
Barão de Melgaço,-16.19,-55.97,100.4,17,0,3.36,BR,1604609588
Asău,46.43,26.4,46.0,85,83,2.33,RO,1604609589
Iqaluit,63.75,-68.51,15.8,66,90,18.34,CA,1604609312
Guiuan,11.03,125.72,82.06,78,81,10.11,PH,1604609591
Bāndarban,22.2,92.23,65.82,89,0,1.66,BD,1604609593
Emba,48.83,58.14,47.1,45,100,6.71,KZ,1604609285
Upernavik,72.79,-56.15,6.66,90,63,5.28,GL,1604609062
Valparaíso,-33.04,-71.63,71.6,40,0,18.34,CL,1604608914
Ahipara,-35.17,173.17,66.38,86,46,5.77,NZ,1604608892
Majene,-3.54,118.97,78.58,85,100,9.04,ID,1604609598
Astrea,9.5,-73.98,82.6,83,65,3.13,CO,1604609600
Alta Floresta,-9.88,-56.09,87.8,46,65,3.78,BR,1604609602
Olafsvik,64.89,-23.71,39.88,73,100,51.27,IS,1604609441
Santa Lucía,27.91,-15.54,68.0,72,20,5.82,ES,1604609604
Belmonte,-15.86,-38.88,71.6,83,90,2.24,BR,1604609239
Katsuura,35.13,140.3,55.4,66,75,8.05,JP,1604608922
Samarai,-10.62,150.67,80.01,85,26,7.74,PG,1604609308
Souillac,-20.52,57.52,73.4,73,75,6.93,MU,1604609086
Kindu,-2.95,25.95,71.42,96,100,1.9,CD,1604609609
El Salvador,13.83,-88.92,78.8,100,90,2.24,SV,1604609611
Ilulissat,69.22,-51.1,17.6,67,75,14.99,GL,1604609017
Ossora,59.24,163.07,30.42,89,99,8.03,RU,1604609614
Amapá,1.0,-52.0,77.58,86,53,6.69,BR,1604609615
Yantal',56.85,105.25,26.76,96,100,6.73,RU,1604609616
Ngunguru,-35.62,174.5,72.0,78,18,5.99,NZ,1604609617
Shangzhi,45.22,127.97,39.94,87,100,9.64,CN,1604609618
Phan Thiet,10.93,108.1,76.17,89,81,6.82,VN,1604609588
Provideniya,64.38,-173.3,41.0,86,90,31.32,RU,1604609621
Adiaké,5.29,-3.3,78.8,100,20,2.24,CI,1604609622
Kumluca,36.37,30.29,67.89,44,61,8.08,TR,1604609598
Peniche,39.36,-9.38,57.99,84,100,8.01,PT,1604609566
Baykit,61.67,96.37,-2.88,86,18,4.9,RU,1604609625
Homer,59.64,-151.55,26.01,45,1,3.36,US,1604609626
Bambous Virieux,-20.34,57.76,73.4,73,75,6.93,MU,1604609261
Hasaki,35.73,140.83,50.0,87,75,2.24,JP,1604609628
Danielskuil,-28.19,23.54,63.97,45,37,9.82,ZA,1604609629
Clarence Town,-32.58,151.78,62.01,87,75,12.75,AU,1604609631
Tigil',57.8,158.67,29.08,97,84,10.2,RU,1604609632
Camocim,-2.9,-40.84,82.27,67,20,17.96,BR,1604609525
Mount Isa,-20.73,139.5,71.6,18,0,12.75,AU,1604608973
La Ronge,55.1,-105.28,19.4,85,100,13.87,CA,1604609635
Faya,18.39,42.45,62.6,82,1,1.28,SA,1604609636
Tiarei,-17.53,-149.33,77.0,78,75,12.75,PF,1604609637
Grand Gaube,-20.01,57.66,71.01,79,0,1.99,MU,1604609274
Havre-St-Pierre,50.23,-63.6,37.4,100,90,8.05,CA,1604609640
Dawei,14.08,98.2,73.06,83,1,4.12,MM,1604609641
Grindavik,63.84,-22.43,41.0,75,75,40.26,IS,1604609642
Capaci,38.17,13.24,64.99,82,0,5.82,IT,1604609643
Brisbane,-27.47,153.03,70.0,40,20,10.29,AU,1604609644
Leningradskiy,69.38,178.42,31.93,98,100,20.94,RU,1604609200
Xapuri,-10.65,-68.5,96.57,29,100,2.8,BR,1604609586
Taoudenni,22.68,-3.98,81.7,16,19,5.91,ML,1604609647
Namuac,18.61,121.17,78.15,84,100,7.27,PH,1604609649
Kysyl-Syr,63.9,122.76,1.04,92,100,3.96,RU,1604609122
Yagoua,10.34,15.23,80.94,27,99,9.01,CM,1604609651
Alofi,-19.06,-169.92,75.2,78,75,18.34,NU,1604609273
Perumpāvūr,10.13,76.48,75.2,94,75,1.48,IN,1604609653
Nizhnedevitsk,51.54,38.37,44.6,87,90,8.95,RU,1604609654
Riviere-au-Renard,49.0,-64.4,44.6,81,75,12.75,CA,1604609655
Sonegaon,20.65,78.68,60.8,72,0,4.5,IN,1604609656
‘Āhuimanu,21.44,-157.84,84.2,74,20,6.93,US,1604609353
Bam,29.11,58.36,54.64,39,0,2.28,IR,1604609237
Tura,25.52,90.22,59.61,57,0,3.15,IN,1604609236
Cidreira,-30.18,-50.21,67.17,66,0,7.11,BR,1604609661
Barra,-11.09,-43.14,79.54,65,59,3.27,BR,1604609662
Kamenskiy,50.89,45.49,39.74,91,6,7.16,RU,1604609663
Sondrio,46.17,9.87,55.0,79,29,1.39,IT,1604609664
Fuyu,45.18,124.82,46.09,57,100,16.75,CN,1604609665
Vila Franca do Campo,37.72,-25.43,61.0,63,40,11.41,PT,1604609266
Aklavik,68.22,-135.01,-5.8,76,20,6.93,CA,1604608929
Kenai,60.55,-151.26,19.99,66,1,8.03,US,1604609669
Avera,33.19,-82.53,77.0,44,40,6.93,US,1604609314
George Town,5.41,100.34,80.6,83,40,4.7,MY,1604609208
Bengkulu,-3.8,102.27,76.01,87,97,4.21,ID,1604609672
Ust'-Omchug,61.15,149.63,-13.34,85,74,7.16,RU,1604609247
Lavrentiya,65.58,-171.0,36.52,86,85,17.94,RU,1604609186
Todos Santos,23.45,-110.22,84.0,72,100,5.01,MX,1604609676
Mitú,1.2,-70.17,84.16,77,71,1.72,CO,1604609572
Tual,-5.67,132.75,82.24,79,48,11.43,ID,1604609678
Gobabis,-22.45,18.97,74.68,18,2,14.5,NA,1604609679
Trairi,-3.28,-39.27,80.4,75,51,11.88,BR,1604609169
São Sepé,-30.16,-53.57,69.71,65,60,7.43,BR,1604609681
Tucupita,9.06,-62.05,78.46,94,73,4.61,VE,1604609683
Kelvington,52.17,-103.53,64.4,36,66,13.87,CA,1604609587
Eidfjord,60.47,7.07,45.0,79,100,3.0,NO,1604609687
Arlit,18.74,7.39,79.57,17,0,10.69,NE,1604609688
Naushki,50.38,106.11,25.09,84,94,2.33,RU,1604609689
Hīt,33.64,42.83,66.69,60,15,3.58,IQ,1604609690
Hamilton,39.18,-84.53,66.2,45,1,8.05,US,1604609440
Bolgar,54.95,49.07,39.2,100,90,6.71,RU,1604609692
Margate,51.38,1.39,51.01,66,13,5.53,GB,1604609305
Kidal,18.44,1.41,80.65,20,0,7.54,ML,1604609695
Thinadhoo,0.53,72.93,83.37,68,22,4.41,MV,1604609696
Mnogovershinnyy,53.94,139.92,20.17,92,97,18.66,RU,1604609697
Warmbad,-28.45,18.73,60.57,65,13,11.1,NA,1604609698
Galle,6.04,80.22,78.58,84,96,4.65,LK,1604609699
Yulara,-25.24,130.99,69.8,19,65,8.05,AU,1604609700
Synya,65.37,58.04,36.52,94,100,10.18,RU,1604609701
San Isidro,-12.12,-77.05,69.8,64,75,10.29,PE,1604609703
Benjamin Constant,-4.38,-70.03,95.0,59,40,3.36,BR,1604609521
Porto de Moz,-1.75,-52.24,84.85,63,100,0.96,BR,1604609705
Isangel,-19.55,169.27,81.5,70,0,4.76,VU,1604609250
Vila Velha,-20.33,-40.29,80.01,78,75,8.05,BR,1604609707
Puerto Lempira,15.27,-83.77,81.34,80,100,9.8,HN,1604609708
Baza,37.49,-2.77,54.0,81,100,5.93,ES,1604609709
